Цена,Марка,Модель,Год выпуска,Поколение,Пробег,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,Обмен,Ссылка
1499000,BMW,X1,2011,E84 (2009—2012), 153213 км,4+,Не битый,20d 2.0 xDrive AT (177 л.с.),2.0,Дизель,Автомат,Полный,Lifestyle,Внедорожник 5-дверный,Синий,Левый,интересует,"https://www.avito.ru/kurumoch/avtomobili/bmw_x1_2.0_at_2011_153_213_km_3087574378
"
4899000,BMW,Z4,2019,G29 (2018—2022), 26369 км,1,Не битый,20i 2.0 Steptronic (197 л.с.),2.0,Бензин,Автомат,Задний,M Sport,Кабриолет,Красный,Левый,,"https://www.avito.ru/afonino/avtomobili/bmw_z4_2.0_at_2019_26_369_km_3569984432
"
1099600,BMW,X1,2012,E84 (2009—2012), 124000 км,4+,Не битый,18i 2.0 sDrive AT (150 л.с.),2.0,Бензин,Автомат,Задний,,Внедорожник 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/ufa/avtomobili/bmw_x1_2.0_at_2012_124_000_km_3413107543
"
1850000,BMW,X3,2013,F25 (2010—2014), 133000 км,2,Не битый,20i 2.0 xDrive AT (184 л.с.),2.0,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/samara/avtomobili/bmw_x3_2.0_at_2013_133_000_km_3516364811
"
16750000,BMW,X7,2023,G07 рестайлинг (2022—2023), 35 км,1,Не битый,40d 3.0 xDrive Steptronic (340 л.с.),3.0,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/samara/avtomobili/bmw_x7_3.0_at_2023_35_km_3526654171
"
7990000,BMW,X7,2019,G07 (2018—2023), 47083 км,1,Не битый,40i 3.0 xDrive Steptronic (340 л.с.),3.0,Бензин,Автомат,Полный,M Sport Pure,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/izhevsk/avtomobili/bmw_x7_3.0_at_2019_47_083_km_3287490957
"
1800000,BMW,7 серия,2010,F01/F02 (2008—2012), 161417 км,3,Не битый,730Li 3.0 AT (258 л.с.),3.0,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_7_seriya_3.0_at_2010_161_417_km_3372331516
"
965000,BMW,5 серия,2005,E60/E61 (2002—2007), 405000 км,4+,Не битый,525i 2.5 AT (218 л.с.),2.5,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,интересует,"https://www.avito.ru/tolyatti/avtomobili/bmw_5_seriya_2.5_at_2005_405_000_km_3343991544
"
3000000,BMW,X5,2013,E70 рестайлинг (2010—2013), 94400 км,3,Не битый,35i 3.0 AT (306 л.с.),3.0,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Коричневый,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_x5_3.0_at_2013_94_400_km_3610476343
"
15490000,BMW,X7,2022,G07 рестайлинг (2022—2023), 15000 км,1,Не битый,40i 3.0 xDrive Steptronic (380 л.с.),3.0,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x7_3.0_at_2022_15_000_km_3270248709
"
550000,BMW,7 серия,2002,E65/E66 (2001—2005), 250000 км,4+,Не битый,735i 3.6 AT (272 л.с.),3.6,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_7_seriya_3.6_at_2002_250_000_km_2524560638
"
6499000,BMW,M4,2016,F82/F83 (2014—2017), 21961 км,3,Не битый,3.0 Drivelogic (431 л.с.),3.0,Бензин,Робот,Задний,Base,Купе,Синий,Левый,,"https://www.avito.ru/orenburg/avtomobili/bmw_m4_3.0_amt_2016_21_961_km_3556899141
"
6200000,BMW,Z4,2021,G29 (2018—2022), 8963 км,1,Не битый,30i 2.0 Steptronic (258 л.с.),,Бензин,Автомат,Задний,M Sport Pro,Кабриолет,Серебряный,Левый,,"https://www.avito.ru/tolyatti/avtomobili/bmw_z4_2.0_at_2021_8_963_km_2779645897
"
15999000,BMW,X6,2023,G06 рестайлинг (2023—2023), 84 км,1,Не битый,30d 3.0 Steptronic (298 л.с.),3.0,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,,"https://www.avito.ru/izhevsk/avtomobili/bmw_x6_3.0_at_2023_84_km_3447385600
"
3103000,BMW,X5,2016,F15 (2013—2018), 246103 км,2,Не битый,30d 3.0 xDrive Steptronic (249 л.с.),3.0,Дизель,Автомат,Полный,Luxury,Внедорожник 5-дверный,Чёрный,Левый,,"https://www.avito.ru/izhevsk/avtomobili/bmw_x5_3.0_at_2016_246_103_km_3479421082
"
5200000,BMW,X6,2016,F16 (2014—2020), 80000 км,1,Не битый,30d 3.0 Steptronic (249 л.с.),3.0,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_x6_3.0_at_2016_80_000_km_3358911539
"
3849980,BMW,5 серия,2018,G30/G31 (2016—2020), 89986 км,1,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,M Sport,Седан,Синий,Левый,Возможен,"https://www.avito.ru/samara/avtomobili/bmw_5_seriya_2.0_at_2018_89_986_km_3463470498
"
2999999,BMW,6 серия Gran Coupe,2013,F06 (2011—2015), 165777 км,4+,Не битый,640i 3.0 xDrive AT (320 л.с.),3.0,Бензин,Автомат,Полный,Базовая,Седан,Чёрный,Левый,Возможен,"https://www.avito.ru/samara/avtomobili/bmw_6_seriya_gran_coupe_3.0_at_2013_165_777_km_3402749457
"
1028000,BMW,X1,2010,E84 (2009—2012), 232332 км,4+,Не битый,23d 2.0 xDrive AT (204 л.с.),2.0,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Белый,Левый,Возможен,"https://www.avito.ru/kazan/avtomobili/bmw_x1_2.0_at_2010_232_332_km_3288322210
"
2546100,BMW,X5,2013,E70 рестайлинг (2010—2013), 105543 км,2,Не битый,35i 3.0 AT (306 л.с.),3.0,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Коричневый,Левый,Возможен,"https://www.avito.ru/ufa/avtomobili/bmw_x5_3.0_at_2013_105_543_km_3481152389
"
